Gene	Cytoband	(A) NON-SARIFA	(B) SARIFA	Log Ratio	p-Value	q-Value	Enriched in
RBAK-RBAKDN	7p22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RBAKDN	7p22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RBKS	2p23.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RBM12B-AS1	8q22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RELB	19q13.32	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
REXO1L2P	8q21.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RGS17	6q25.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RHBDF2	17q25.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RIT1	1q22	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RNF216-IT1	7p22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RNF216P1	7p22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RO60	1q31.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RPA3	7p21.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RRS1-DT	8q13.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
RSPH4A	6q22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
S100A11	1q21.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
S100A5	1q21.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
S100A7A	1q21.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
S100A8	1q21.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SASH3	Xq26.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SCYL1	11q13.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SEC11A	15q25.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SEC16B	1q25.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SEMA5A-AS1	5p15.31	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SERTAD4	1q32.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SFI1	22q12.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SFRP4	7p14.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SFTA2	6p21.33	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SHOX2	3q25.32	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SIGLEC9	19q13.3-q13.4	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SIN3B	19p13.11	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SKAP2	7p15.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SLC35C1	11p11.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SLC39A3	19p13.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SLC4A10	2q24.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SLC4A5	2p13.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SLC5A3	21q22.11	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SLC9A6	Xq26.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SLC9A7	Xp11.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SLMAP	3p14.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SMURF2	17q23.3-q24.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SNHG18	5p15.31	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SNHG6	8q13.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SNORD123	5p15.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SNORD87	8q13.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SOST	17q21.31	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SOSTDC1	7p21.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SPAM1	7q31	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SPANXD	Xq27.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SPANXN1	Xq27.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SPNS2	17p13.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SREK1	5q12.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SRP72	4q12	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SRSF3P2	8q22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ST14	11q24.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ST6GALNAC4	9q34.11	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ST8SIA6	10p12.33	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
STIL	1p33	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
STIMATE	3p21.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
STK17B	2q32.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
STK25	2q37.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
STK40	1p34.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
STRC	15q15.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
STT3A	11q24.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
STX19	3q11.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
STX6	1q25.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
STXBP1	9q34.11	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SULT6B1	2p22.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SV2C	5q13.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TAAR5	6q23.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TATDN2	3p25.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TBC1D8	2q11.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TBPL1	6q23.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TBX1	22q11.21	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TCF24	8q13.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
THAP2	12q21.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TMC5	16p12.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TMEM79	1q22	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TOMM7	7p15.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TPD52L1	6q22-q23	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TRDN	6q22.31	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TRIB2	2p24.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TRIM54	2p23.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TROAP	12q13.12	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TSPAN10	17q25.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TSPAN11	12p11.21	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TSR1	17p13.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TTC16	9q34.11	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TTC38	22q13.31	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TTC6	14q21.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
TUBG2	17q21.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
UBTD1	10q24.1-q24.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
UMAD1	7p21.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
URM1	9q34.11	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
USO1	4q21.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
USP9Y	Yq11.221	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
VCAM1	1p21.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
VIP	6q25.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
WDR37	10p15.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
WDR82	3p21.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
WNT1	12q13.12	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
WNT7A	3p25.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
YTHDF3-DT	8q12.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZBTB9	6p21.32	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZDHHC12	9q34.11	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZKSCAN8	6p21	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZMPSTE24	1p34.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF112	19q13.31	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF233	19q13.31	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF263	16p13.3	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF281	1q32.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF316	7p22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF385C	17q21.2	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF519	18p11.21	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF670	1q44	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF815P	7p22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF853	7p22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZNF890P	7p22.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
ZSWIM5	1p34.1	7 (3.66%)	1 (1.12%)	1.71	0.218	0.667	(A) NON-SARIFA
SACS	13q12.12	26 (13.61%)	16 (17.98%)	-0.40	0.218	0.667	(B) SARIFA
ALK	2p23.2-p23.1	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
ARHGEF10L	1p36.13	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
ATG2A	11q13.1	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
ATP11A	13q34	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
BRD9	5p15.33	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
CACNA2D1	7q21.11	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
CACNA2D3	3p21.1-p14.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
CAD	2p23.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
CAMSAP2	1q32.1	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
CHD9	16q12.2	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
COL4A4	2q36.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
DCAF12L2	Xq25	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
ECM1	1q21.2	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
FASN	17q25.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
GPR6	6q21	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
GUCA1A	6p21.1	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
GXYLT1	12q12	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
HOOK3	8p11.21	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
ITIH5	10p14	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
KDM2B	12q24.31	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
KRT42P	17q21.2	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
KRTAP17-1	17q21.2	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
KRTAP9-4	17q21.2	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
LMX1A	1q23.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
LRRC14	8q24.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
NUP210	3p25.1	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
PCDHB2	5q31.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
PCMTD2	20q13.33	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
PDZD4	Xq28	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
PIAS2	18q21.1	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
RASA1	5q14.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
RRBP1	20p12.1	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
SERINC3	20q13.12	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
SH3TC1	4p16.1	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
SHOX	Xp22.33 and Yp11.32	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
SLC2A2	3q26.2	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
SPG11	15q21.1	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
SPTB	14q23.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
TBC1D9B	5q35.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
TP53BP1	15q15.3	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
TRANK1	3p22.2	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
ZNF423	16q12.1	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
ZZEF1	17p13.2	15 (7.85%)	4 (4.49%)	0.81	0.220	0.667	(A) NON-SARIFA
CPAMD8	19p13.11	20 (10.47%)	6 (6.74%)	0.64	0.221	0.667	(A) NON-SARIFA
FLNC	7q32.1	20 (10.47%)	6 (6.74%)	0.64	0.221	0.667	(A) NON-SARIFA
FSIP2	2q32.1	20 (10.47%)	6 (6.74%)	0.64	0.221	0.667	(A) NON-SARIFA
MMP9	20q13.12	20 (10.47%)	6 (6.74%)	0.64	0.221	0.667	(A) NON-SARIFA
POLH	6p21.1	20 (10.47%)	6 (6.74%)	0.64	0.221	0.667	(A) NON-SARIFA
RECQL4	8q24.3	20 (10.47%)	6 (6.74%)	0.64	0.221	0.667	(A) NON-SARIFA
RGS12	4p16.3	20 (10.47%)	6 (6.74%)	0.64	0.221	0.667	(A) NON-SARIFA
TOP2A	17q21.2	20 (10.47%)	6 (6.74%)	0.64	0.221	0.667	(A) NON-SARIFA
ZNF462	9q31.2	20 (10.47%)	6 (6.74%)	0.64	0.221	0.667	(A) NON-SARIFA
KMT2C	7q36.1	32 (16.75%)	11 (12.36%)	0.44	0.222	0.667	(A) NON-SARIFA
CCDC178	18q12.1	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
CLUH	17p13.3	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
CYP3A43	7q22.1	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
CYP3A7	7q22.1	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
EMILIN3	20q12	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
ETV5	3q27.2	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
FAM133DP	2q24.1	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
GATAD1	7q21.2	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
IL1RAP	3q28	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
KMT5B	11q13.2	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
LINC00977	8q24.21	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
MB21D2	3q29	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
MRPL47	3q26.33	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
NAV2	11p15.1	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
NCOR2	12q24.31	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
PCM1	8p22	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
SAMSN1	21q11.2	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
ST8SIA1	12p12.1	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
ZCWPW1	7q22.1	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
ZNF789	7q22.1	11 (5.76%)	8 (8.99%)	-0.64	0.225	0.667	(B) SARIFA
ABCD2	12q12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ACD	16q22.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ACSM4	12p13.31	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ACTR1A	10q24.32	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ACTR3	2q14.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ADAM18	8p11.22	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ADAT1	16q23.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ADPRS	1p34.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ADRA2B	2q11.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ADRB3	8p11.23	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
AICDA	12p13.31	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ALDH2	12q24.12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ALG1L9P	11q13.4	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ALPI	2q37.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
B3GALT6	1p36.33	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
BACE2	21q22.2-q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
BCLAF3	Xp22.12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
BEND3P3	10q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
BMS1P21	10q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
C12ORF50	12q21.32	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CCDC88B	11q13.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CD226	18q22.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CD7	17q25.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CDC20	1p34.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CDC42	1p36.12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CEP85	1p36.11	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CES1	16q12.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CHEK2	22q12.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CLDN3	7q11.23	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CLEC1B	12p13.31-p13.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CLEC4A	12p13.31	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CPLX1	4p16.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CPLX4	18q21.32	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CRYGN	7q36.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CSHL1	17q23.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CTU2	16q24.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CYP11A1	15q24.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
DACT1	14q23.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
DEFB108B	11q13.4	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
DEFB131B	11q13.4	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
DFFB	1p36.32	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
DLL3	19q13.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
DNAAF8	16p13.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
DNER	2q36.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
DPF3	14q24.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
DPY19L3-DT	19q13.11	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
EFHD2	1p36.21	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
EGLN2	19q13.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ELMOD3	2p11.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ENTPD8	9q34.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
EPS8L1	19q13.42	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ESPNL	2q37.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
EVI2A	17q11.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
EWSR1	22q12.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
FAM107B	10p13	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
FAM245A	10q23.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
FAM53A	4p16.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
FAM83C-AS1	20q11.22	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
FBL	19q13.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
FGF17	8p21.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
FOXF1	16q24.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
GAPDHS	19q13.12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
GINS4	8p11.21	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
GNB1	1p36.33	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
GP1BA	17p13.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
GPC1	2q37.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
GRP	18q21.32	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
